,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
2650,2650,missing,missing,residential,missing,4.0,33.208,25.0,True,missing,,West 115th Street,5671450,,,
2651,2651,missing,missing,secondary,missing,4.0,92.442,25.0,False,missing,,Saint Nicholas Avenue,46613656,,,
2652,2652,missing,missing,residential,missing,4.0,58.617,25.0,True,missing,"LINESTRING (588352.2849978143 4517345.378186853, 588353.2633846136 4517355.992692768, 588351.2933987995 4517385.301768347, 588349.1535797955 4517394.224760317, 588344.2751077188 4517402.171329907)",Saint Nicholas Avenue,46613654,,,
2653,2653,missing,missing,residential,missing,4.0,57.819,25.0,True,missing,,Peck Slip,5670167,,,
2654,2654,missing,missing,residential,missing,4.0,12.496,25.0,True,missing,,Water Street,46154300,,,
2655,2655,missing,missing,residential,missing,4.0,62.363,25.0,True,missing,,Peck Slip,5670167,,,
2656,2656,missing,missing,residential,missing,4.0,107.895,25.0,True,missing,,Front Street,46154332,,,
2657,2657,missing,missing,primary,missing,4.0,30.451,25.0,False,missing,,South Street,226193930,,,
2658,2658,missing,missing,primary,missing,4.0,106.422,25.0,False,missing,,South Street,226193930,,,
2659,2659,missing,missing,primary,missing,4.0,101.187,25.0,False,missing,"LINESTRING (584259.7395800357 4506915.427489325, 584263.4978529474 4506919.255975962, 584323.5192448877 4506980.566287365, 584330.3887552138 4506987.90511934)",Pearl Street,194923778,,,
2660,2660,missing,missing,primary,missing,4.0,118.723,25.0,False,missing,"LINESTRING (584259.7395800357 4506915.427489325, 584253.2117314789 4506908.49228142, 584222.1460260616 4506874.355992016, 584200.4256569468 4506850.495379625, 584183.3947485088 4506831.783886831, 584180.022312899 4506827.44912572)",Pearl Street,438366913,,,
2661,2661,missing,missing,residential,missing,4.0,104.7,25.0,True,missing,,Water Street,46154300,,,
2662,2662,missing,missing,residential,missing,4.0,81.714,25.0,True,missing,"LINESTRING (584311.8040644217 4506852.459539845, 584289.926337 4506878.911466361, 584289.2581170123 4506879.725428894, 584266.866653087 4506906.793300344, 584259.7395800357 4506915.427489325)",Peck Slip,39956205,,,
2663,2663,missing,missing,residential,missing,4.0,56.922,25.0,True,missing,,Peck Slip,5670168,,,
2664,2664,missing,missing,residential,missing,4.0,22.313,25.0,True,missing,,Front Street,46154332,,,
2665,2665,missing,missing,residential,missing,4.0,61.828,25.0,True,missing,,Peck Slip,5670168,,,
2666,2666,missing,missing,primary,missing,4.0,30.451,25.0,False,missing,,South Street,226193930,,,
2667,2667,missing,missing,primary,missing,4.0,91.403,25.0,False,missing,"LINESTRING (584387.0425563046 4506760.612504953, 584400.023072025 4506769.952656683, 584462.8595882038 4506811.823052526)",South Street,226193930,,,
2668,2668,missing,missing,primary,missing,3.0,79.708,25.0,True,missing,,Amsterdam Avenue,439805285,,,
2669,2669,missing,missing,residential,missing,4.0,134.451,25.0,True,missing,,West 98th Street,5670169,,,
2670,2670,missing,missing,residential,missing,4.0,83.699,25.0,True,missing,,Riverside Drive,46111610,,,
2671,2671,missing,missing,residential,missing,4.0,45.737,25.0,True,missing,"LINESTRING (584346.9481251114 4509646.757924106, 584338.6836552313 4509687.286574079, 584337.8249071119 4509691.506714215)",Waverly Place,5670170,,,
2672,2672,missing,missing,residential,missing,4.0,53.462999999999994,25.0,True,missing,"LINESTRING (584346.9481251114 4509646.757924106, 584305.9710201951 4509672.08204978, 584301.404218964 4509674.872260476)",Waverly Place,5670171,,,
2673,2673,missing,missing,residential,missing,4.0,39.976,25.0,True,missing,,Grove Street,5672159,,,
2674,2674,missing,missing,residential,missing,4.0,121.811,25.0,True,missing,"LINESTRING (584337.8249071119 4509691.506714215, 584313.3547911159 4509686.698703272, 584291.2237738823 4509682.650109727, 584218.0794774963 4509667.83013408)",Christopher Street,492148706,,,
2675,2675,missing,missing,residential,missing,4.0,72.834,25.0,True,missing,,Waverly Place,164420607,,,
