,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
955,,,"LINESTRING (585913.3389152967 4514789.614122025, 585906.6976424771 4514793.200786809, 585731.9270972592 4514887.042436664)",residential,,,205.644,,West 73rd Street,True,195743217,,,,
956,,,"LINESTRING (585913.3389152967 4514789.614122025, 585911.554780827 4514780.456236262, 585898.2773264297 4514712.289572567, 585896.7263977029 4514699.759306613)",primary,,,91.538,,Broadway,True,404253364,,,,
957,,,,residential,,,18.792,,West 74th Street,True,5672315,,,,
958,,,"LINESTRING (585930.4599635524 4514871.248111907, 585914.9046839856 4514797.226256754, 585913.3389152967 4514789.614122025)",primary,,,83.53,,Broadway,True,404253364,,,,
959,,,,residential,,,159.497,,West 75th Street,True,46334582,,,,
960,,,,primary,,,82.517,,Broadway,True,404253364,,,,
961,,,,residential,,,18.734,,West 76th Street,True,5671628,,,,
962,,,,primary,,,85.318,,Broadway,True,404253364,,,,
963,,,,residential,,,116.622,,West 77th Street,True,188290057,,,,
964,,,"LINESTRING (585987.8591986744 4515114.299880164, 585985.3366343592 4515105.521967516, 585967.2469170061 4515034.734572748)",primary,,,82.307,,Broadway,True,404253364,,,,
965,,,,secondary,,,17.3,,West 79th Street,False,5672389,,,,
966,,,,secondary,,,104.62,,West 79th Street,False,68668533,,,,
967,,,"LINESTRING (586056.741438061 4515267.93470944, 586017.8720787941 4515196.039554261, 586015.6825775692 4515191.284529095)",primary,,,87.02799999999999,,Broadway,True,404253364,,,,
968,,,,residential,,,105.679,,West 81st Street,True,209462187,,,,
969,,,,primary,,,80.203,,Broadway,True,404253364,,,,
970,,,,residential,,,16.558,,West 82nd Street,True,5670192,,,,
971,,,"LINESTRING (586175.3416688499 4515483.167373287, 586162.8968079999 4515461.239737334, 586136.1300319493 4515414.054201591)",primary,,,79.513,,Broadway,True,404253364,,,,
972,,,,residential,,,108.09,,West 83rd Street,True,5670553,,,,
973,,,,primary,,,82.271,,Broadway,True,404253364,,,,
974,,,,residential,,,115.369,,West 85th Street,True,5672180,,,,
975,,,,primary,,,79.616,,Broadway,True,404253364,,,,
976,,,,secondary,,4,120.818,30 mph,West 86th Street,False,68668560,,,,
977,,,,secondary,,,16.688,,West 86th Street,False,320516787,,,,
978,,,,primary,,,88.891,,Broadway,True,404253364,,,,
979,,,,residential,,,127.299,,West 87th Street,True,320516788,,,,
980,,,,primary,,,84.16,,Broadway,True,404253364,,,,
981,,,,primary,,,79.495,,Broadway,True,404253364,,,,
982,,,"LINESTRING (586427.7598896613 4515907.888298769, 586436.5213812273 4515903.327675786, 586442.9311656323 4515899.994148813)",residential,,,17.079,,West 88th Street,True,5670659,,,,
983,,,,primary,,,78.656,,Broadway,True,404253364,,,,
984,,,"LINESTRING (586503.666093806 4516048.220584241, 586511.0482353836 4516044.709747575, 586519.2278652895 4516040.830764992)",residential,,,17.201,,West 90th Street,True,5670526,,,,
985,,,,residential,,,128.807,,West 91st Street,True,5671786,,,,
986,,,,primary,,,80.814,,Broadway,True,404253364,,,,
987,,,,primary,,,79.994,,Broadway,True,404253364,,,,
988,,,"LINESTRING (586579.8172338958 4516189.722369841, 586585.3861509897 4516186.845427034, 586595.4204668595 4516181.655958099)",residential,,,17.54,,West 92nd Street,True,5671106,,,,
989,,,,residential,,,128.855,,West 93rd Street,True,5671403,,,,
990,,,,primary,,,80.154,,Broadway,True,404253364,,,,
991,,,"LINESTRING (586654.825822561 4516329.823875028, 586661.2867483102 4516326.424527299, 586670.5665685338 4516321.526087416)",residential,,,17.77,,West 94th Street,True,5670519,,,,
